Team,Season,Date,Vs,Score,Away Starter,Home Starter,BAL Line,O/U,,FIELD,Game Result,Runs Scr,Runs Alw,Margin,Side Line,O/U Result,O/U Line,O/U Odds
Baltimore,2010,10/3/10,DET,L 2-4,Phil Coke (L),Bradley Bergesen (R),L -155,U 8.5 -106,,HOME,L,2,4,-2,-155,U,8.5 ,-106
Baltimore,2010,10/2/10,DET,W 2-1,Armando Galarraga (R),Brian Matusz (L),W -155,U 8.5 -116,,HOME,W,2,1,1,-155,U,8.5 ,-116
Baltimore,2010,10/1/10,DET,W 2-1,Rick Porcello (R),Jeremy Guthrie (R),W -145,U 8 -106,,HOME,W,2,1,1,-145,U,8 ,-106
Baltimore,2010,10/1/10,DET,W 10-6,Jeremy Bonderman (R),Chris Tillman (R),W -120,O 9 107,,HOME,W,10,6,4,-120,O,9 ,107
Baltimore,2010,9/29/10,@ TB,W 2-0,Kevin Millwood (R),Jeff Niemann (R),W 176,U 9 -107,,AWAY,W,2,0,2,176,U,9 ,-107
Baltimore,2010,9/28/10,@ TB,L 0-5,Bradley Bergesen (R),David Price (L),L 221,U 7.5 -113,,AWAY,L,0,5,-5,221,U,7.5 ,-113
Baltimore,2010,9/27/10,@ TB,W 4-0,Brian Matusz (L),Wade Davis (R),W 157,U 8.5 -111,,AWAY,W,4,0,4,157,U,8.5 ,-111
Baltimore,2010,9/26/10,@ TOR,L 2-5,Rick VandenHurk (R),Shaun Marcum (R),L 168,U 9 -121,,AWAY,L,2,5,-3,168,U,9 ,-121
Baltimore,2010,9/25/10,@ TOR,L 4-5,Jeremy Guthrie (R),Ricky Romero (L),L 141,O 8.5 103,,AWAY,L,4,5,-1,141,O,8.5 ,103
Baltimore,2010,9/24/10,@ TOR,L 4-6,Chris Tillman (R),Brett Cecil (L),L 150,O 9 -116,,AWAY,L,4,6,-2,150,O,9 ,-116
Baltimore,2010,9/22/10,@ BOS,L 1-6,Kevin Millwood (R),John Lackey (R),L 153,U 9.5 -111,,AWAY,L,1,6,-5,153,U,9.5 ,-111
Baltimore,2010,9/21/10,@ BOS,W 9-1,Bradley Bergesen (R),Clay Buchholz (R),W 195,O 8.5 100,,AWAY,W,9,1,8,195,O,8.5 ,100
Baltimore,2010,9/20/10,@ BOS,W 4-2,Brian Matusz (L),Daisuke Matsuzaka (R),W 133,U 9 -107,,AWAY,W,4,2,2,133,U,9 ,-107
Baltimore,2010,9/19/10,NYY,W 4-3,Andy Pettitte (L),Chris Tillman (R),W 154,U 9 -111,,HOME,W,4,3,1,154,U,9 ,-111
Baltimore,2010,9/18/10,NYY,L 3-11,CC Sabathia (L),Jeremy Guthrie (R),L 173,O 8 110,,HOME,L,3,11,-8,173,O,8 ,110
Baltimore,2010,9/17/10,NYY,L 3-4,A.J. Burnett (R),Kevin Millwood (R),L 140,U 9.5 -116,,HOME,L,3,4,-1,140,U,9.5 ,-116
Baltimore,2010,9/15/10,TOR,W 3-1,Kyle Drabek (R),Bradley Bergesen (R),W -111,U 9 -102,,HOME,W,3,1,2,-111,U,9 ,-102
Baltimore,2010,9/14/10,TOR,W 11-3,Shawn Hill (R),Jake Arrieta (R),W -110,O 9.5 104,,HOME,W,11,3,8,-110,O,9.5 ,104
Baltimore,2010,9/13/10,TOR,W 4-3,Marc Rzepczynski (L),Brian Matusz (L),W -135,U 9 -111,,HOME,W,4,3,1,-135,U,9 ,-111
Baltimore,2010,9/12/10,@ DET,L 2-6,Chris Tillman (R),Justin Verlander (R),L 206,U 8.5 -110,,AWAY,L,2,6,-4,206,U,8.5 ,-110
Baltimore,2010,9/11/10,@ DET,W 5-3,Jeremy Guthrie (R),Max Scherzer (R),W 159,O 7.5 100,,AWAY,W,5,3,2,159,O,7.5 ,100
Baltimore,2010,9/10/10,@ DET,W 6-3,Kevin Millwood (R),Armando Galarraga (R),W 142,P 9 -,,AWAY,W,6,3,3,142,P,9 ,9 -
Baltimore,2010,9/8/10,@ NYY,L 2-3,Bradley Bergesen (R),Ivan Nova (R),L 226,U 10 106,,AWAY,L,2,3,-1,226,U,10 ,106
Baltimore,2010,9/7/10,@ NYY,W 6-2,Jake Arrieta (R),CC Sabathia (L),W 353,U 9 -109,,AWAY,W,6,2,4,353,U,9 ,-109
Baltimore,2010,9/6/10,@ NYY,W 4-3,Brian Matusz (L),A.J. Burnett (R),W 183,U 9.5 -119,,AWAY,W,4,3,1,183,U,9.5 ,-119
