Team,Vs,Away Starter,Home Starter,FIELD,Game Result,Runs Scr,Runs Alw,Margin,Money Line,O/U Result,O/U Line,O/U Odds,Results on the ML,Results on the Over,Results on the Under
Baltimore,DET,Phil Coke (L),Bradley Bergesen (R),HOME,L,2,4,-2,-155,U,8.5,-106,-1.00,-1.00,0.94
Baltimore,DET,Armando Galarraga (R),Brian Matusz (L),HOME,W,2,1,1,-155,U,8.5,-116,0.65,-1.00,0.86
Baltimore,DET,Rick Porcello (R),Jeremy Guthrie (R),HOME,W,2,1,1,-145,U,8,-106,0.69,-1.00,0.94
Baltimore,DET,Jeremy Bonderman (R),Chris Tillman (R),HOME,W,10,6,4,-120,O,9,107,0.83,1.07,-1.00
Baltimore,@ TB,Kevin Millwood (R),Jeff Niemann (R),AWAY,W,2,0,2,176,U,9,-107,1.76,-1.00,0.93
Baltimore,@ TB,Bradley Bergesen (R),David Price (L),AWAY,L,0,5,-5,221,U,7.5,-113,-1.00,-1.00,0.88
Baltimore,@ TB,Brian Matusz (L),Wade Davis (R),AWAY,W,4,0,4,157,U,8.5,-111,1.57,-1.00,0.90
Baltimore,@ TOR,Rick VandenHurk (R),Shaun Marcum (R),AWAY,L,2,5,-3,168,U,9,-121,-1.00,-1.00,0.83
Baltimore,@ TOR,Jeremy Guthrie (R),Ricky Romero (L),AWAY,L,4,5,-1,141,O,8.5,103,-1.00,1.03,-1.00
Baltimore,@ TOR,Chris Tillman (R),Brett Cecil (L),AWAY,L,4,6,-2,150,O,9,-116,-1.00,0.86,-1.00
Baltimore,@ BOS,Kevin Millwood (R),John Lackey (R),AWAY,L,1,6,-5,153,U,9.5,-111,-1.00,-1.00,0.90
Baltimore,@ BOS,Bradley Bergesen (R),Clay Buchholz (R),AWAY,W,9,1,8,195,O,8.5,100,1.95,1.00,-1.00
Baltimore,@ BOS,Brian Matusz (L),Daisuke Matsuzaka (R),AWAY,W,4,2,2,133,U,9,-107,1.33,-1.00,0.93
Baltimore,NYY,Andy Pettitte (L),Chris Tillman (R),HOME,W,4,3,1,154,U,9,-111,1.54,-1.00,0.90
Baltimore,NYY,CC Sabathia (L),Jeremy Guthrie (R),HOME,L,3,11,-8,173,O,8,110,-1.00,1.10,-1.00
Baltimore,NYY,A.J. Burnett (R),Kevin Millwood (R),HOME,L,3,4,-1,140,U,9.5,-116,-1.00,-1.00,0.86
Baltimore,TOR,Kyle Drabek (R),Bradley Bergesen (R),HOME,W,3,1,2,-111,U,9,-102,0.90,-1.00,0.98
Baltimore,TOR,Shawn Hill (R),Jake Arrieta (R),HOME,W,11,3,8,-110,O,9.5,104,0.91,1.04,-1.00
Baltimore,TOR,Marc Rzepczynski (L),Brian Matusz (L),HOME,W,4,3,1,-135,U,9,-111,0.74,-1.00,0.90
Baltimore,@ DET,Chris Tillman (R),Justin Verlander (R),AWAY,L,2,6,-4,206,U,8.5,-110,-1.00,-1.00,0.91
Baltimore,@ DET,Jeremy Guthrie (R),Max Scherzer (R),AWAY,W,5,3,2,159,O,7.5,100,1.59,1.00,-1.00
Baltimore,@ DET,Kevin Millwood (R),Armando Galarraga (R),AWAY,W,6,3,3,142,P,9,9 -,1.42,0.00,0.00
Baltimore,@ NYY,Bradley Bergesen (R),Ivan Nova (R),AWAY,L,2,3,-1,226,U,10,106,-1.00,-1.00,1.06
Baltimore,@ NYY,Jake Arrieta (R),CC Sabathia (L),AWAY,W,6,2,4,353,U,9,-109,3.53,-1.00,0.92
Baltimore,@ NYY,Brian Matusz (L),A.J. Burnett (R),AWAY,W,4,3,1,183,U,9.5,-119,1.83,-1.00,0.84
Baltimore,TB,Wade Davis (R),Chris Tillman (R),HOME,W,8,7,1,148,O,9.5,111,1.48,1.11,-1.00
Baltimore,TB,James Shields (R),Jeremy Guthrie (R),HOME,W,8,4,4,136,O,8.5,-114,1.36,0.88,-1.00
Baltimore,TB,Matt Garza (R),Kevin Millwood (R),HOME,L,1,4,-3,173,U,8.5,-102,-1.00,-1.00,0.98
Baltimore,BOS,Daisuke Matsuzaka (R),Bradley Bergesen (R),HOME,L,4,6,-2,126,O,9,-115,-1.00,0.87,-1.00
Baltimore,BOS,Jon Lester (L),Jake Arrieta (R),HOME,L,6,9,-3,196,O,8.5,100,-1.00,1.00,-1.00
Baltimore,BOS,Josh Beckett (R),Brian Matusz (L),HOME,W,5,2,3,129,U,8.5,-108,1.29,-1.00,0.93
Baltimore,@ LAA,Jeremy Guthrie (R),Jered Weaver (R),AWAY,W,1,0,1,185,U,7.5,-116,1.85,-1.00,0.86
Baltimore,@ LAA,Kevin Millwood (R),Scott Kazmir (L),AWAY,W,5,0,5,151,U,8.5,101,1.51,-1.00,1.01
Baltimore,@ LAA,Bradley Bergesen (R),Trevor Bell (R),AWAY,W,3,1,2,131,U,9,101,1.31,-1.00,1.01
Baltimore,@ CHW,Jake Arrieta (R),Edwin Jackson (R),AWAY,L,0,8,-8,174,U,9,-102,-1.00,-1.00,0.98
Baltimore,@ CHW,Brian Matusz (L),Mark Buehrle (L),AWAY,W,4,2,2,161,U,9,-128,1.61,-1.00,0.78
Baltimore,@ CHW,Jeremy Guthrie (R),Gavin Floyd (R),AWAY,L,5,7,-2,156,O,8.5,106,-1.00,1.06,-1.00
Baltimore,TEX,Tommy Hunter (R),Kevin Millwood (R),HOME,L,4,6,-2,119,O,9.5,-102,-1.00,0.98,-1.00
Baltimore,TEX,Cliff Lee (L),Bradley Bergesen (R),HOME,W,8,6,2,195,O,7.5,-104,1.95,0.96,-1.00
Baltimore,TEX,C.J. Wilson (L),Jake Arrieta (R),HOME,L,0,2,-2,172,U,9,-115,-1.00,-1.00,0.87
Baltimore,TEX,Colby Lewis (R),Brian Matusz (L),HOME,W,4,0,4,149,U,9,-125,1.49,-1.00,0.80
Baltimore,SEA,David Pauley (R),Jeremy Guthrie (R),HOME,L,5,6,-1,-141,O,8.5,-110,-1.00,0.91,-1.00
Baltimore,SEA,Luke French (L),Kevin Millwood (R),HOME,L,0,4,-4,-113,U,9,-108,-1.00,-1.00,0.93
Baltimore,SEA,Doug Fister (R),Bradley Bergesen (R),HOME,W,5,4,1,-118,O,8.5,-118,0.85,0.85,-1.00
Baltimore,@ TB,Jake Arrieta (R),Jeremy Hellickson (R),AWAY,L,2,3,-1,219,U,8.5,101,-1.00,-1.00,1.01
Baltimore,@ TB,Brian Matusz (L),Andy Sonnanstine (R),AWAY,L,3,7,-4,168,O,9,-111,-1.00,0.90,-1.00
Baltimore,@ TB,Jeremy Guthrie (R),James Shields (R),AWAY,W,5,0,5,180,U,8.5,104,1.80,-1.00,1.04
Baltimore,@ CLE,Kevin Millwood (R),Jeanmar Gomez (R),AWAY,L,1,4,-3,115,U,9.5,-107,-1.00,-1.00,0.93
Baltimore,@ CLE,Bradley Bergesen (R),Josh Tomlin (R),AWAY,W,3,1,2,125,U,9,-120,1.25,-1.00,0.83
